index,Team Name,In-game Name,Open ID
406,Cinnavy,ßåẅånn̈_ą°,4935380004701298
407,Clover Cat,ᴅᴏʀᴏᴛʜʏᶻ,939309482050674
408,Clover Cat,Maki!,2735436552406130
409,Clover Cat,ϟɴᴀᴍıɴϟ,501942627533938
410,Clover Cat,Ggtm,2953815171204210
411,Clover Cat,marsU,2625027304522866
412,Clover sun,ᴄ͜͡enlineッ,3512660545176690
413,Clover sun,ไอเลิฟยูหมีเนยยღ,2432730008847474
414,Clover sun,ᴍᴀ͜͡ ᴏᴍᴀ͜͡ᴏ★,4246272500499570
415,Clover sun,syuuuu`,3612745765422194
416,Clover sun,‡‘Jiran⁹†,4412985951061106
417,CLOVER V,┌㋡RABBIT✰F,1469376427656306
418,CLOVER V,Julin_c,5019622365660274
419,CLOVER V,alldabii.t,4043897600935026
420,CLOVER V,kjb_bibi,3046973213181042
421,CLOVER V,WawaCho,5661282963489906
422,CMES Angels,˚˖ʏᴜ͜͡ᴋɪɴᴏྀི⸝⸝｡,2633316994057330
423,CMES Angels,ᴋᴀɪᴢᴇɴ.,3398843509179506
